long;lat;distance;id;fid;straat;roepnaam;aanbod;net
373.427.720.075.222;510.472.005.151.694;0;kml_1;0;Lange Violettestraat 65;Nieuwen Bosch;Basisschool (Kleuter + Lager);Katholiek onderwijs
****************;510.553.372.636.928;0;kml_2;1;Dendermondsesteenweg 53;De Vlieger;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
371.322.272.848.638;510.573.245.534.466;0;kml_3;2;Begijnhofdries 42;De Muze;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
375.945.465.958.394;510.288.771.401.516;0;kml_4;3;Alfons Biebuycklaan 24;Sint-Gregorius;Basisschool (Kleuter + Lager);Katholiek onderwijs
374.727.714.090.682;510.615.253.140.131;0;kml_5;4;Joseph Grardstraat 16;Sint-Janscollege Visitatie;Basisschool (Kleuter + Lager);Katholiek onderwijs
371.593.917.647.619;51.030.143.338.751;0;kml_6;5;Sint-Pietersaalststraat 82;KLIM;Kleuterschool;Katholiek onderwijs
373.662.648.642.312;510.411.750.432.032;0;kml_7;6;Sint-Lievenspoortstraat 129;Sint-Lievenspoort;Buitengewoon onderwijs;Katholiek onderwijs
377.284.872.680.696;510.272.041.929.692;0;kml_8;7;Jules Destrelaan 67;Sint-Gregorius;Buitengewoon onderwijs;Katholiek onderwijs
****************;510.347.838.736.226;0;kml_9;8;Stropkaai 38;Sint-Jozef;Buitengewoon onderwijs;Katholiek onderwijs
376.977.532.990.629;510.937.002.816.891;0;kml_10;9;Meerhoutstraat 55;IVIO Sint-Salvator;Buitengewoon onderwijs;Katholiek onderwijs
370.909.094.436.863;510.619.711.575.819;0;kml_11;10;Ijskelderstraat 29;Het Kompas;Buitengewoon onderwijs;Onderwijs Stad Gent
37.360.644.854.607;510.444.459.133.903;0;kml_12;11;Sint-Lievenspoortstraat 2;De Zonnepoort;Buitengewoon onderwijs;Onderwijs Stad Gent
372.757.362.894.065;510.551.367.421.268;0;kml_13;12;Dendermondsesteenweg 102;Macarius;Buitengewoon onderwijs;Katholiek onderwijs
373.080.719.264.019;510.684.488.642.011;0;kml_14;13;Bevelandstraat 22-24;De Sassepoort;Buitengewoon onderwijs;Onderwijs Stad Gent
370.645.360.764.701;510.519.533.608.063;0;kml_15;14;Korenbloemstraat 17;Korenbloem;Buitengewoon onderwijs;Katholiek onderwijs
370.388.962.627.464;510.655.344.932.449;0;kml_16;15;Jozef Guislainstraat 47;OOBC Nieuwe vaart;Buitengewoon onderwijs;Overleg kleine onderwijsverstrekkers
372.470.615.217.016;510.560.204.008.645;0;kml_17;16;Onderstraat 10;Francois Laurentinstituut;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
375.620.812.994.151;510.549.273.415.092;0;kml_18;17;Sint-Baafskouterstraat 129;De Wijze Boom;Basisschool (Kleuter + Lager);GO!Onderwijs van de Vlaamse gemeenschap
376.727.538.176.363;510.347.230.906.612;0;kml_19;18;Hazenakker 1;BSGO Hazenakker;Basisschool (Kleuter + Lager);GO!Onderwijs van de Vlaamse gemeenschap
372.511.420.685.183;510.366.646.783.807;0;kml_20;19;Karel Lodewijk Ledeganckstraat 4;Daltonschool De kleine Icarus;Basisschool (Kleuter + Lager);GO!Onderwijs van de Vlaamse gemeenschap
369.485.991.968.595;510.724.749.092.925;0;kml_21;20;Eeklostraat 7;Sint-Lieven Kollegem;Lagere school;Katholiek onderwijs
369.328.259.417.278;510.749.790.665.293;0;kml_22;21;Eeklostraat 144;Sint-lieven Kolegem;Kleuterschool;Katholiek onderwijs
37.612.633.738.422;510.453.680.084.333;0;kml_23;22;Gentbruggekouter 8;Sancta Maria;Lagere school;Katholiek onderwijs
377.091.345.816.425;510.435.884.065.188;0;kml_24;23;Jules Van Biesbroeckstraat 119;Sancta Maria;Basisschool (Kleuter + Lager);Katholiek onderwijs
373.616.237.226.427;510.555.657.303.387;0;kml_25;24;Lucas Munichstraat 29;Het Trappenhuis;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
370.567.761.900.073;510.437.455.678.923;0;kml_26;25;Neermeerskaai 2;Bollekensschool;LO;Onderwijs Stad Gent
37.328.076.927.724;510.421.387.470.801;0;kml_27;26;Tentoonstellingslaan 4;Benedictuspoort;Basisschool (Kleuter + Lager);Katholiek onderwijs
371.966.852.883.475;51.022.626.175.419;0;kml_28;27;Rerum Novarumplein 188;Sint-Paulus;Basisschool (Kleuter + Lager);Katholiek onderwijs
371.334.688.350.082;51.017.431.509.911;0;kml_29;28;Ebergiste De Deynestraat 2;Sint-Paulus;Basisschool (Kleuter + Lager);Katholiek onderwijs
363.002.397.878.264;51.075.598.231.419;0;kml_30;29;Gavergrachtstraat 97;Sint-Paulus;Basisschool (Kleuter + Lager);Katholiek onderwijs
****************;510.274.837.483.222;0;kml_31;30;De Pintelaan 185 1K5;UZ-school;Buitengewoon onderwijs;Onderwijs Stad Gent
366.996.808.779.109;510.201.978.140.883;0;kml_32;31;Oudeheerweg 3;Sint-Paulus;Basisschool (Kleuter + Lager);Katholiek onderwijs
371.010.547.602.424;510.056.155.397.974;0;kml_33;32;Hutsepotstraat 77;De Boekenmolen;Kleuterschool;Onderwijs Stad Gent
36.694.241.921.658;510.230.783.029.573;0;kml_34;33;Kerkdreef 9;Westerhem;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
370.723.038.099.355;510.282.545.691.028;0;kml_35;34;Voskenslaan 362;MPI Gent De Oase;Buitengewoon onderwijs;GO!Onderwijs van de Vlaamse gemeenschap
376.745.866.986.516;510.944.660.849.999;0;kml_36;35;Wolfputstraat 108;EDUGO Meerhout;Kleuterschool;Katholiek onderwijs
376.376.672.684.309;5.107.996.284.093;0;kml_37;36;Groenstraat 31;EDUGO Lourdes;Kleuterschool;Katholiek onderwijs
375.734.748.706.341;510.633.993.832.949;0;kml_38;37;Heiveldstraat 127a;Sint-Janscollege Heiveld;Basisschool (Kleuter + Lager);Katholiek onderwijs
37.491.074.473.683;510.594.995.334.238;0;kml_39;38;Schoolstraat 27;De Toverberg;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
370.535.269.346.487;510.432.054.475.497;0;kml_40;39;Gordunakaai 58;Ter Leie;Kleuterschool;Onderwijs Stad Gent
370.781.294.633.852;510.453.267.600.605;0;kml_41;40;Jubileumlaan 215D;Bollekenskindertuin;Kleuterschool;Onderwijs Stad Gent
369.994.803.978.195;510.608.628.202.664;0;kml_42;41;Acaciastraat 11;Jenaplanschool De Feniks;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
373.944.452.926.816;510.493.348.159.229;0;kml_43;42;Kasteellaan 54;Rudolf Steinerschool;Basisschool (Kleuter + Lager);Overleg kleine onderwijsverstrekkers
360.360.673.260.008;51.035.195.725.573;0;kml_44;43;Baarleboslaan 86;De Mijlpaal;Kleuterschool;GO!Onderwijs van de Vlaamse gemeenschap
36.538.486.902.135;510.535.062.745.863;0;kml_45;44;Groenewandeling 80;Mijlpaal;Basisschool (Kleuter + Lager);GO!Onderwijs van de Vlaamse gemeenschap
36.944.400.985.936;510.531.932.904.329;0;kml_46;45;Heldenplein 45;Het Eiland;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
371.231.159.977.308;510.396.863.594.554;0;kml_47;46;Dsir Van Monckhovenstraat 34;Dsir Van Monckhoven;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
37.123.116.215.462;510.396.875.533.597;0;kml_48;47;Meersstraat 131;Sint-Pietersinstituut;Basisschool (Kleuter + Lager);Katholiek onderwijs
376.828.963.483.486;510.419.086.601.393;0;kml_49;48;Voordries 31;'t Groen Drieske;Kleuterschool;Onderwijs Stad Gent
375.749.244.632.067;510.286.630.919.295;0;kml_50;49;Jules De Saint-Genoisstraat 93;De Sportschool;Basisschool (Kleuter + Lager);Onderwijs Stad Gent
